"Search Location","Name","Ratings","Best Services","Remarks","Shop Address","Website","Phone"
"Port Saint Lucie, Florida 34953","iFixandRepair - Port St Lucie Walmart","4.5 (552)","[Screen Repair, Battery Replacement, Phone Unlock]","Fast Service","1850 SW Gatlin Blvd","N/A","(772) 323-1142"
"El Paso, Texas 79928","Smartphone Solutions - Phone Repair El Paso","4.9 (1000)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","El Paso, TX","N/A","(915) 219-8440"
"El Paso, Texas 79928","AG Cellular Repair Center LLC","4.9 (479)","[Screen Repair, Phone Repair, Quick Turnaround]","Fast Service","El Paso, TX","N/A","N/A"
"El Paso, Texas 79928","Talk N' Fix - N Zaragoza Rd ( Inside Walmart)","4.9 (1300)","[Battery Replacement, Screen Repair, iPhone Repair]","Quick Fixes","El Paso, TX","N/A","(945) 544-7337"
"El Paso, Texas 79928","TALK N FIX WOODROW (Inside Walmart)","4.9 (1800)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","El Paso, TX","N/A","(945) 544-7303"
"El Paso, Texas 79928","iPhone Xpress","4.9 (586)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","El Paso, TX","N/A","(915) 474-5400"
"Fresno, California 93722","CellFix - cellfixfresno, iPhone Repair, Phone Screen Repair, PC & Tablet Repair","4.9 (570)","[Screen Repair, iPhone Repair, PC Repair]","Fast Service","Fresno, CA","N/A","(559) 765-8044"
"Fresno, California 93722","CellPros Tower District","4.9 (402)","[Screen Repair, Battery Replacement, Fast Repair]","Quick Turnaround","Fresno, CA","N/A","(559) 371-4077"
"Fresno, California 93722","U-tec RiverPark","4.9 (532)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Quality Repairs","Fresno, CA","N/A","(559) 715-2020"
"Fresno, California 93722","U-tec Blackstone","4.9 (621)","[Screen Repair, Battery Replacement, Data Recovery]","Quick Fixes","Fresno, CA","N/A","(559) 931-2002"
"Fresno, California 93722","CellPros - Ashlan","4.8 (490)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Fresno, CA","N/A","(559) 668-6692"
"Bakersfield, California 93307","CELLNOW BAKERSFIELD","4.9 (629)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Bakersfield, CA","N/A","(661) 546-4506"
"Bakersfield, California 93307","CellTech Cell Phone and Tablet Repair Mobile Service","4.8 (543)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Bakersfield, CA","N/A","(559) 614-5459"
"Bakersfield, California 93307","uBreakiFix - Phone and Computer Repair","4.8 (583)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Bakersfield, CA","N/A","(661) 241-4617"
"Bakersfield, California 93307","uBreakiFix - Phone and Computer Repair","4.5 (731)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Bakersfield, CA","N/A","(661) 215-4924"
"Chula Vista, California 91911","iFixandRepair - Chula Vista Walmart","5 (443)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Chula Vista, CA","N/A","(619) 974-6229"
"Chula Vista, California 91911","247PcTech","4.9 (336)","[Screen Repair, Battery Replacement, Data Recovery]","Quick Fixes","Chula Vista, CA","N/A","(619) 710-7767"
"Chula Vista, California 91911","Phone Zone Wireless","4.9 (754)","[Screen Repair, Battery Replacement, iPhone Repairs]","Fast Service","El Cajon, CA","N/A","(619) 440-9663"
"Chula Vista, California 91911","uBreakiFix - Phone and Computer Repair","4.7 (635)","[Screen Repair, Glass Replacement, Phone Repair]","Quick Fix","Chula Vista, CA","N/A","(619) 349-3193"
"Spring, Texas 77379","Smoke N Cell 5 (Smoke shop, Delta 8, Vape Outlet, Phone Repair & More)","5 (317)","[Phone Repair, Vape Sales, Delta 8 Sales]","Trustworthy Service","Spring, TX","N/A","(832) 288-5140"
"Spring, Texas 77379","Cell Geeks Spring | Samsung Repair | iPhone Repair | Laptop Repair | Phone Accessories | BUY, SELL, TRADE","4.9 (774)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Spring, TX","N/A","(346) 606-1260"
"Spring, Texas 77379","UZ Tech Computers","4.9 (811)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Spring, TX","N/A","(281) 251-9255"
"Spring, Texas 77379","Cellairis Phone Repair Inside Walmart - Spring","4.9 (1500)","[Screen Repair, iPhone Repair, Cracked Screen]","Fast Service","Spring, TX","N/A","(832) 974-5545"
"Spring, Texas 77379","Quick Fixx - iPhone Repair (We Buy Phones)","4.9 (460)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Houston, TX","N/A","(281) 797-8920"
"Dallas, Texas 75217","iFixandRepair - Dallas Walmart","5 (869)","[Screen Repair, Battery Replacement, Phone Repair]","Fast Service","Dallas, TX","N/A","(972) 333-0226"
"Dallas, Texas 75217","iCloudwireless ( Phone Repair/Print Shop )","5 (416)","[Screen Repair, Phone Repair, Printing]","Fast Service","Dallas, TX","N/A","(214) 436-7998"
"Dallas, Texas 75217","A1 WIRELESS CELL PHONE REPAIR STORE","4.9 (743)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Dallas, TX","N/A","(682) 230-0017"
"Dallas, Texas 75217","Cell Phones & Electronics","4.9 (1200)","[Screen Repair, Phone Repair, Fast Repair]","Fast Service","Dallas, TX","N/A","(469) 669-1871"
"Dallas, Texas 75217","iFixandRepair - Balch Springs Walmart","4.9 (2500)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Fix","Balch Springs, TX","N/A","(945) 268-0022"
"Forney, Texas 75126","Forney Cell Phone Repair. We Repair All kind of Phones, iPads, Tab, Mcbook, Laptop","5 (403)","[Screen Repair, Battery Replacement, Charging Port Repair]","Fast Service","Forney, TX","N/A","(214) 931-3081"
"Chicago, Illinois 60647","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Chicago, Illinois 60647","Cell N Comp Repairs","4.9 (590)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Chicago, IL","N/A","(312) 929-9807"
"Chicago, Illinois 60647","eRepair - iPhone & iPad Repair Chicago","4.9 (526)","[Screen Repair, Battery Replacement, Diagnostic Service]","Expert Repair","Chicago, IL","N/A","(773) 698-7176"
"Chicago, Illinois 60647","All Day iFix","4.9 (593)","[Screen Repair, iPhone Repair, Mobile Repair]","Friendly Service","Chicago, IL","N/A","(773) 244-8177"
"Chicago, Illinois 60647","Chicago Cell Phone Repair","4.9 (866)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Chicago, IL","N/A","(773) 497-7421"
"Rialto, California 92376","Cellphone Repair","4.8 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Rialto, CA","N/A","(909) 875-9185"
"Rialto, California 92376","SBL Games, Inc. Game Console Repair, HDMI Port, & Micro Soldering","4.8 (493)","[HDMI Repair, Micro Soldering, Console Repair]","Highly Skilled","Rialto, CA","N/A","(909) 269-4488"
"Rialto, California 92376","iRepair Wireless","4.7 (938)","[Screen Repair, Battery Replacement, Diagnostic Services]","Fair Price","Rialto, CA","N/A","(909) 258-3021"
"Rialto, California 92376","CPR Cell Phone Repair","4.6 (516)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","Eastvale, CA","N/A","(951) 790-0011"
"Rialto, California 92376","Omar Wireless","3.8 (355)","[Screen Repair, Device Diagnosis, Fast Repair]","Fast Service","Rialto, CA","N/A","(909) 875-9185"
"Chicago, Illinois 60639","GSM Solutions Inc.","5 (1100)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Chicago, IL","N/A","(773) 860-4201"
"Chicago, Illinois 60639","Cellz Repairz","5 (483)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Good Value","Chicago, IL","N/A","(773) 413-7489"
"Chicago, Illinois 60639","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Chicago, Illinois 60639","Cell N Comp Repairs","4.9 (590)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Chicago, IL","N/A","(312) 929-9807"
"Chicago, Illinois 60639","eRepair - iPhone & iPad Repair Chicago","4.9 (526)","[Screen Repair, Battery Replacement, Diagnostic Service]","Trustworthy Experts","Chicago, IL","N/A","(773) 698-7176"
"Missouri City, Texas 77459","Mobile Spot - iFixPhones Computer & Cellphone Repair ( inside the H-E-B )","5 (1300)","[Screen Repair, Battery Replacement, iPhone Repair]","Quick Fixes","Missouri City, TX","N/A","(832) 334-2975"
"Missouri City, Texas 77459","Smoke N Cell 4 | Smoke shop | Delta 8 | CBD | Vape | E juice | Cellphone Repair","5 (411)","[Screen Repair, Battery Replacement, Vape Sales]","Quick Fix","Missouri City, TX","N/A","(346) 304-2191"
"Missouri City, Texas 77459","Texas Cellular Cell Phone & Computer Repair & Services","4.9 (2200)","[Screen Repair, Battery Replacement, Fast Repairs]","Friendly Service","Missouri City, TX","N/A","(281) 403-6666"
"Missouri City, Texas 77459","CPR Cell Phone Repair","4.9 (659)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Missouri City, TX","N/A","(346) 341-3133"
"Missouri City, Texas 77459","Phone Repair Pro","4.9 (752)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Houston, TX","N/A","(832) 832-1590"
"Fresno, California 93727","CellFix - cellfixfresno, iPhone Repair, Phone Screen Repair, PC & Tablet Repair","4.9 (570)","[Screen Repair, iPhone Repair, PC Repair]","Fast Service","6751 N Blackstone Ave","N/A","(559) 765-8044"
"Fresno, California 93727","CellPros Tower District","4.9 (402)","[Screen Repair, Battery Replacement, Fast Repair]","Quick Turnaround","812 E Olive Ave","N/A","(559) 371-4077"
"Fresno, California 93727","CellPros - Peach","4.8 (927)","[Screen Repair, Battery Replacement, Phone Restoration]","Fast Service","5211 E Kings Canyon Rd #101","N/A","(559) 640-7414"
"Fresno, California 93727","RepairALL","4.8 (1100)","[Screen Repair, Battery Replacement, Quick Repairs]","Fast Service","Clovis, CA","N/A","(559) 326-7427"
"Fresno, California 93727","CellPros - Ashlan","4.8 (490)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","3075 W Ashlan Ave","N/A","(559) 668-6692"
"Roseville, California 95747","TalkN'Fix Roseville Phone repair store ( inside Walmart)","5 (1000)","[Screen Repair, Phone Repair, Quick Fixes]","Fast Service","Roseville, CA","N/A","(916) 740-8353"
"Roseville, California 95747","IFIXMOBILE - PHONES, TABLETS, COMPUTERS, GAME CONSOLES","4.8 (337)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Roseville, CA","N/A","(916) 500-4740"
"Roseville, California 95747","Cellairis – Phone Repair & Accessories (Galleria Mall)","4.8 (444)","[Screen Repair, Battery Replacement, Diagnostic Services]","Quick Fixes","Roseville, CA","N/A","(916) 781-0868"
"Roseville, California 95747","Tech 2U","4.8 (344)","[Virus Removal, Data Recovery, Hardware Repair]","Quick Fixes","Roseville, CA","N/A","(916) 678-5350"
"Roseville, California 95747","iPHONE CLINIC","4.7 (394)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Roseville, CA","N/A","(916) 780-6726"
"Ewa Beach, Hawaii 96706","We Fix Phones Oahu","5 (1700)","[Screen Repair, Battery Replacement, On-site Repair]","Fast Service","Honolulu, HI","N/A","(808) 388-3854"
"Ewa Beach, Hawaii 96706","Tricked Out Accessories and Phone Repair - Kapolei","4.9 (1100)","[Screen Repair, Phone Repair, iPhone Repair]","Fast Service","Kapolei, HI","N/A","(808) 670-2630"
"Ewa Beach, Hawaii 96706","Aloha Phone Repair by TCA Wireless - Waipahu","4.9 (378)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Waipahu, HI","N/A","(808) 944-8886"
"Ewa Beach, Hawaii 96706","Tricked Out Accessories and Phone Repair - Aiea","4.9 (1100)","[Screen Repair, Battery Replacement, Phone Cases]","Reliable Service","Aiea, HI","N/A","(808) 488-8885"
"Ewa Beach, Hawaii 96706","Hifix Phone Repair","4.9 (479)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick Turnaround","Wahiawa, HI","N/A","(808) 785-1561"
"Sacramento, California 95823","Techy Sacramento - Inside Walmart","5 (4700)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Sacramento, CA","N/A","(469) 588-5566"
"Sacramento, California 95823","Mr iPhone Mobile","4.9 (432)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Sacramento, CA","N/A","(916) 715-5213"
"Sacramento, California 95823","Wireless Repair","4.8 (612)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Sacramento, CA","N/A","(916) 400-4514"
"Sacramento, California 95823","RepairALL","4.8 (1600)","[Screen Repair, Battery Replacement, Glass Repair]","Fast Service","Elk Grove, CA","N/A","(916) 627-1846"
"Sacramento, California 95823","A Plus Phone Repair | Same-Day Repair + 90-Day Warranty Phone, Tablet, Laptop & Game Console Repair","4.8 (536)","[Screen Repair, Charging Port Repair, Battery Replacement]","Fast Turnaround","Sacramento, CA","N/A","(279) 204-4881"
"Anaheim, California 92804","CPR Cell Phone Repair","4.9 (2000)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Cypress, CA","N/A","(714) 827-4277"
"Anaheim, California 92804","Invisible Armor iPhone, iPad, Samsung Repair, Unlock, Buy And Sell","4.9 (1800)","[Screen Repair, Battery Replacement, Phone Unlock]","Fast Service","Santa Ana, CA","N/A","(714) 551-6939"
"Brooklyn, New York 11234","Uwire Phone & Computer Repair","4.9 (366)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(347) 530-5454"
"Brooklyn, New York 11234","MD Wireless - Fix Phone Repair Shop","4.8 (319)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(718) 975-1950"
"Brooklyn, New York 11234","uBreakiFix - Phone and Computer Repair","4.8 (826)","[Screen Repair, Battery Replacement, iPhone Repair]","Fast Service","Brooklyn, NY","N/A","(929) 998-0200"
"Brooklyn, New York 11234","uBreakiFix - Phone and Computer Repair","4.7 (2500)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(929) 324-0277"
"Brooklyn, New York 11234","Wireless Deal Phone Repair","4.7 (510)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast Service","Brooklyn, NY","N/A","(718) 769-4040"
"Wake Forest, North Carolina 27587","uBreakiFix - Phone and Computer Repair","4.7 (1100)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Wake Forest, NC","N/A","(919) 263-3500"
"Wake Forest, North Carolina 27587","uBreakiFix - Phone and Computer Repair","4.6 (1100)","[Screen Repair, Phone Repair, Computer Repair]","Reliable Service","Raleigh, NC","N/A","(919) 948-4441"
"Cicero, Illinois 60804","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Cicero, Illinois 60804","Crestwood Cell Phone Repair","5 (456)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Crestwood, IL","N/A","(708) 548-6916"
"Cicero, Illinois 60804","Unlocked phone repair","4.9 (441)","[Screen Repair, Fast Repair, Phone 11 Repair]","Fast Service","Chicago, IL","N/A","(773) 426-0427"
"Cicero, Illinois 60804","J's Quick Fix 2","4.8 (338)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Cicero, IL","N/A","(708) 477-4040"
"Cicero, Illinois 60804","Connect Cell Repair","4.8 (362)","[Screen Repair, Phone Repair, Quick Fixes]","Fast Service","Chicago, IL","N/A","(312) 498-6904"
"Mansfield, Texas 76063","The Fix - Walmart Mansfield","4.9 (381)","[Back Glass Repair, iPhone Repair, Fast Repair]","Fast Service","Mansfield, TX","N/A","(817) 301-9664"
"Mansfield, Texas 76063","Moe’s iRepair","4.9 (1600)","[Screen Repair, iPhone Repair, Quick Fixes]","Fast Service","Duncanville, TX","N/A","(469) 513-2716"
"Mansfield, Texas 76063","Phone Repair Pro Mansfield texas","4.8 (897)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Mansfield, TX","N/A","(817) 810-0786"
"Mansfield, Texas 76063","uBreakiFix - Phone and Computer Repair","4.8 (1200)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Mansfield, TX","N/A","(817) 779-6107"
"Mansfield, Texas 76063","Verizon","4.8 (762)","[Phone Repair, Device Upgrade, Bill Payment]","Fast Service","Mansfield, TX","N/A","(817) 225-4111"
"Cumming, Georgia 30040","TECHY Cumming - Inside Walmart (iPhone, iPad & Android Repair)","5 (474)","[Screen Repair, Water Damage, Battery Replacement]","Fast Service","Cumming, GA","N/A","(470) 380-6686"
"Cumming, Georgia 30040","iFixandRepair - Cumming Walmart","4.9 (1300)","[Screen Repair, Battery Replacement, Phone Refurbishing]","Fast Service","Cumming, GA","N/A","(470) 930-2244"
"Cumming, Georgia 30040","Cellairis (#1 Certified Phone Repairs in Walmart Cumming ) iPhone, IPad, Tablets, Laptops, PC and Gaming Consoles","4.9 (3100)","[Screen Repair, Battery Replacement, Cracked Phone Repair]","Reliable Service","Cumming, GA","N/A","(678) 217-2156"
"Cumming, Georgia 30040","Techy Alpharetta - Inside Walmart - Buy/Repair/Sell","4.9 (952)","[Screen Repair, Battery Replacement, Phone Buyback]","Fast Service","Alpharetta, GA","N/A","(770) 282-8818"
"Cumming, Georgia 30040","uBreakiFix - Phone and Computer Repair","4.7 (887)","[Screen Repair, Phone Repair, Schedule Flexibility]","Reliable Service","Cumming, GA","N/A","(678) 341-9965"
"Santa Ana, California 92704","Kairos Land","5 (647)","[Screen Repair, Battery Replacement, General Repair]","Reliable Service","Santa Ana, CA","N/A","(714) 569-1665"
"Santa Ana, California 92704","ABComputers","5 (512)","[Phone Repair, Screen Repair, Device Diagnostics]","Great Value","Santa Ana, CA","N/A","(714) 543-3233"
"Santa Ana, California 92704","Invisible Armor iPhone, iPad, Samsung Repair, Unlock, Buy And Sell","4.9 (1800)","[Screen Repair, Battery Replacement, Unlock]","Fast Service","Santa Ana, CA","N/A","(714) 551-6939"
"Santa Ana, California 92704","CPR Cell Phone Repair","4.9 (2000)","[Screen Repair, Battery Replacement, Water Damage]","Fast Turnaround","Cypress, CA","N/A","(714) 827-4277"
"Santa Ana, California 92704","CPR Cell Phone Repair","4.8 (439)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Santa Ana, CA","N/A","(714) 202-2540"
"Brooklyn, New York 11233","iPhone Doc NYC","5 (432)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Brooklyn, NY","N/A","(973) 996-8083"
"Brooklyn, New York 11233","CPR Cell Phone Repair","5 (588)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Brooklyn, NY","N/A","(914) 350-2118"
"Brooklyn, New York 11233","251 schenectady wireless inc","5 (418)","[Screen Repair, Samsung Repair, Fast Repair]","Fast Service","Brooklyn, NY","N/A","(347) 789-1578"
"Brooklyn, New York 11233","Trisha Wireless - Cell Phone repair. Computer, MacBook Repair.","4.9 (500)","[Screen Repair, Battery Replacement, MacBook Repair]","Fast Service","Brooklyn, NY","N/A","(929) 234-2111"
"Brooklyn, New York 11233","Phone repair Luigy wireless corp # 2","4.8 (333)","[Screen Repair, Battery Replacement, Phone Diagnosis]","Quick Fixes","Brooklyn, NY","N/A","(934) 444-6921"
"Concord, North Carolina 28027","Device Doctor (One stop shop for all of your phone needs)","4.9 (511)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Pineville, NC","N/A","(704) 840-0908"
"Concord, North Carolina 28027","FireFold Repair","4.8 (321)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Concord, NC","N/A","(704) 979-3460"
"Concord, North Carolina 28027","uBreakiFix - Phone and Computer Repair","4.7 (1000)","[Screen Repair, Battery Replacement, Diagnostic Service]","Quick Fixes","Concord, NC","N/A","(704) 793-1299"
"Concord, North Carolina 28027","Cellular Doctor - Cell Phone Repair","4.5 (395)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Charlotte, NC","N/A","(704) 905-5893"
"Concord, North Carolina 28027","Fix Phone @ Concord Mills Mall","4.3 (535)","[Screen Repair, Battery Replacement, Water Damage]","Fast Fixes","Concord, NC","N/A","(704) 979-5139"
"Woodbridge, Virginia 22193","Mobile Solutions","4.9 (440)","[Screen Repair, iPhone Repair, Diagnostic Service]","Fast Service","Woodbridge, VA","N/A","(703) 910-6190"
"Woodbridge, Virginia 22193","Geeks Zone","4.9 (369)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Woodbridge, VA","N/A","(703) 730-2820"
"Woodbridge, Virginia 22193","Mobile Zone Phone & Laptop Repair","4.8 (308)","[Screen Repair, Phone Repair, Laptop Repair]","Fast Service","Woodbridge, VA","N/A","(571) 408-4689"
"Woodbridge, Virginia 22193","uBreakiFix - Phone and Computer Repair","4.6 (1200)","[Screen Repair, Battery Replacement, Quick Fixes]","Fast Service","Woodbridge, VA","N/A","(703) 910-4932"
"Woodbridge, Virginia 22193","Apple Stonebridge Potomac Town Center","3.6 (940)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Woodbridge, VA","N/A","(703) 986-2030"
"Burleson, Texas 76028","Tech Experts - Phones, Tablets, Computers, Sales & Repair At Benbrook","4.9 (358)","[Screen Repair, Phone Repair, Computer Repair]","Fast Service","Benbrook, TX","N/A","(817) 501-0489"
"Burleson, Texas 76028","Phone Repair Pro Mansfield texas","4.8 (897)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Mansfield, TX","N/A","(817) 810-0786"
"Burleson, Texas 76028","Cell-Phone Care Plus","4.8 (1200)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Arlington, TX","N/A","(682) 313-5185"
"Burleson, Texas 76028","CPR Cell Phone Repair","4.7 (408)","[Screen Repair, Battery Replacement, Fast Repairs]","Fast Service","Burleson, TX","N/A","(817) 994-4170"
"Burleson, Texas 76028","uBreakiFix - Phone and Computer Repair","4.6 (877)","[Screen Repair, iPhone Repair, Mobile Phone Repair]","Fast Service","Burleson, TX","N/A","(682) 703-1189"
"Raleigh, North Carolina 27610","SM iFiX PHONE","4.9 (317)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Raleigh, NC","N/A","(919) 615-0356"
"Raleigh, North Carolina 27610","QuickPhones- Buy/Repair/Sell","4.9 (345)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Raleigh, NC","N/A","(919) 355-9937"
"Raleigh, North Carolina 27610","Phone Repair Tech","4.8 (1000)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Raleigh, NC","N/A","(919) 616-9230"
"Raleigh, North Carolina 27610","CPR Raleigh Midtown","4.8 (587)","[Screen Repair, Battery Replacement, Diagnostic Service]","Reliable Repairs","Raleigh, NC","N/A","(984) 232-8586"
"Raleigh, North Carolina 27610","QuickPhones- Buy/Repair/Sell","4.8 (547)","[Charging Port Repair, Screen Repair, Battery Replacement]","Fast Service","Raleigh, NC","N/A","(919) 348-2384"
"Chicago, Illinois 60623","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Chicago, Illinois 60623","King Mobile Phone Repair","5 (434)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","N/A","N/A","(773) 953-7120"
"Chicago, Illinois 60623","Chicago Cell Phone Repair","4.9 (866)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Chicago, IL","N/A","(773) 497-7421"
"Chicago, Illinois 60623","Cell N Comp Repairs","4.9 (590)","[Screen Repair, iPhone Repair, Mobile Repair]","Fast Service","Chicago, IL","N/A","(312) 929-9807"
"Chicago, Illinois 60623","Cell N Comp Repairs","4.9 (1300)","[iPhone Repair, Water Damage Repair, Screen Repair]","Fast Service","Chicago, IL","N/A","(773) 942-4329"
"Jurupa Valley, California 92509","Tech-Cidents","4.9 (1000)","[Screen Repair, Battery Replacement, Water Damage]","Highly Recommended","N/A","N/A","(951) 221-3917"
"Jurupa Valley, California 92509","CRACKED SCREENS iPHONE & SAMSUNG Repair CENTER","4.9 (1200)","[Screen Repair, Battery Replacement, Fast Repairs]","Quick Turnaround","Corona, CA","N/A","(951) 227-9991"
"Jurupa Valley, California 92509","Cellphone Repair","4.8 (1500)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Rialto, CA","N/A","(909) 875-9185"
"Jurupa Valley, California 92509","iTECH N TALK Cell Phone Repair : Lyca Mobile • Gen Mobile • Ultra Mobile • AT&T Verizon T-Mobile Prepaid • iPhone Unlock","4.8 (656)","[Screen Repair, iPhone Unlock, Prepaid Plans]","Quick Fixes","Fremont, CA","N/A","(510) 396-0505"
"Jurupa Valley, California 92509","CPR Cell Phone Repair","4.6 (516)","[Screen Repair, Battery Replacement, Water Damage]","Trustworthy Repairs","Eastvale, CA","N/A","(951) 790-0011"
"Flushing, New York 11355","CPF手机维修 CELL PHONE FIX INC","4.7 (450)","[Screen Repair, Battery Replacement, Diagnostic Service]","Speedy Service","Flushing, NY","N/A","(929) 261-9555"
"Chicago, Illinois 60608","I-Tech Phone Repair","5 (421)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Hometown, IL","N/A","(773) 886-4683"
"Chicago, Illinois 60608","King Mobile Phone Repair","5 (434)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","N/A","N/A","(773) 953-7120"
"Chicago, Illinois 60608","Chicago Cell Phone Repair","4.9 (866)","[Screen Repair, Battery Replacement, Quick Diagnosis]","Fast Service","Chicago, IL","N/A","(773) 497-7421"
"Chicago, Illinois 60608","CPR Cell Phone Repair","4.9 (483)","[Screen Repair, Battery Replacement, Fast Repair]","Quick Turnaround","Chicago, IL","N/A","(773) 741-1477"
"Chicago, Illinois 60608","eRepair - iPhone & iPad Repair Chicago","4.9 (526)","[Screen Repair, Battery Replacement, Diagnostic Service]","Trustworthy Experts","Chicago, IL","N/A","(773) 698-7176"
"Redmond, Washington 98052","Simplify Simple Computer Repair","4.9 (455)","[Screen Repair, Battery Replacement, Fast Repair]","Fast Service","Redmond, OR","N/A","(541) 526-5490"
"Redmond, Washington 98052","Dr PC Fix","4.9 (468)","[Virus Removal, Data Recovery, Hardware Repair]","Trustworthy Experts","Redmond, WA","N/A","(425) 214-5241"
"Redmond, Washington 98052","One Hour Device Repair Bothell, iPhone, iPad, Samsung, Pixel, Moto","4.7 (700)","[Screen Repair, Battery Replacement, Water Damage]","Fast Service","Bothell, WA","N/A","(425) 659-2999"
"Redmond, Washington 98052","One Hour Device Repair Issaquah, iPhone, iPad, Samsung, Pixel, Moto","4.7 (590)","[Screen Repair, Battery Replacement, Diagnostic Service]","Fast Service","Issaquah, WA","N/A","(425) 369-4311"
"Redmond, Washington 98052","Seattle Wireless iPhone Screen Repair","4.6 (636)","[Screen Repair, iPhone Repair, Fast Repair]","Fast Service","Seattle, WA","N/A","(206) 910-8550"
"Palmdale, California 93550","iFixandRepair - Palmdale 47th St E Walmart","4.9 (423)","[Screen Repair, Battery Replacement, Phone Repair]","Fair Price","Palmdale, CA","N/A","(661) 936-8118"
"Palmdale, California 93550","ZAGG Antelope Valley","4.9 (1500)","[Screen Repair, Battery Replacement, Phone Diagnostics]","Fast Service","Palmdale, CA","N/A","(661) 917-6124"
"Palmdale, California 93550","Fast-Fix Jewelry & Watch Repairs","4.8 (1100)","[Screen Repair, Phone Repair, Watch Repair]","Fast Service","Palmdale, CA","N/A","(661) 273-2222"
